Strain	Antigenic advance (tree model)	Antigenic advance (sub model)	Clade	Country	Epitope mutations	Local branching index	Non-epitope mutations	ne_star	RBS adjacent mutations	Region	Submitting lab	Collection Data	Vaccine Selection Date	Accession	Originating lab
A/Wisconsin/67/2005				USA		0.02				North America	Other Database Import	2005-08-02 (2005-01-01 - 2005-12-31)	2006-02-21	EPI367110	
A/Brisbane/10/2007	0.15	0.40		Australia	5.00	0.07	5.00	1.00		Oceania	Other Database Import	2007-08-09 (2007-06-08 - 2007-12-30)	2007-09-25	EPI545338	Queensland Health Scientific Services
A/Finland/9/2008	0.15	0.69		Finland	6.00	0.01	5.00	2.00		Europe	National Institute For Medical Research	2008-01-08		EPI211548	National Institute For Health And Welfare
A/KhanhHoa/KH37/2008	0.15	0.37		Vietnam	5.00	0.01	5.00	1.00		Southeast Asia	Other Database Import	2008-01-25		EPI355698	
A/Kenya/1599/2008	0.15	0.37		Kenya	8.00	0.00	5.00	1.00	1.00	Africa	Centers For Disease Control And Prevention	2008-08-08		EPI172420	
A/Kenya/1598/2008	0.15	0.37		Kenya	9.00	0.00	5.00	2.00	1.00	Africa	Centers For Disease Control And Prevention	2008-08-07		EPI168636	
A/Kenya/1431/2008	0.15	0.77		Kenya	8.00	0.00	5.00	1.00	1.00	Africa	Centers For Disease Control And Prevention	2008-07-30		EPI172424	
A/Kenya/1436/2008	0.15	0.37		Kenya	8.00	0.00	4.00		1.00	Africa	Centers For Disease Control And Prevention	2008-06-28		EPI168623	
A/Kenya/1589/2008	0.15	0.37		Kenya	8.00	0.00	4.00		1.00	Africa	Centers For Disease Control And Prevention	2008-08-06		EPI172422	
A/Kolkata/89056/2008	0.15	0.37		India	7.00	0.00	5.00	2.00	1.00	South Asia	Other Database Import	2008-06-20		EPI609691	
A/India/C087863/2008	0.15	0.37		India	5.00	0.01	4.00			South Asia	Other Database Import	2008-01-08		EPI374788	
A/India/7881/2008	0.15	0.37		India	5.00	0.00	4.00			South Asia	Centers For Disease Control And Prevention	2008-04-01		EPI168593	
A/India/C087864/2008	0.15	0.37		India	5.00	0.01	4.00			South Asia	Other Database Import	2008-02-06		EPI375327	
A/Thailand/356/2008	0.15	0.71		Thailand	6.00	0.01	4.00			Southeast Asia	Centers For Disease Control And Prevention	2008-02-27		EPI163135	
A/Delhi/914867/2009	0.15	0.71		India	7.00	0.00	4.00	1.00		South Asia	Other Database Import	2009-03-30		EPI607434	
A/Chennai/91336/2008	0.15	0.71		India	6.00	0.00	4.00			South Asia	Other Database Import	2008-12-24		EPI609609	
A/Chennai/91335/2008	0.15	0.71		India	6.00	0.00	4.00			South Asia	Other Database Import	2008-12-16		EPI605997	
A/Pune/83571/2008	0.15	0.37		India	5.00	0.01	4.00			South Asia	Other Database Import	2008-03-01		EPI609540	
A/India/K089049/2008	0.15	0.37		India	5.00	0.00	4.00			South Asia	Other Database Import	2008-06-05		EPI375337	
A/India/C0817268/2008	0.15	0.37		India	5.00	0.00	4.00			South Asia	Other Database Import	2008-10-07		EPI374783	
A/India/C0817271/2008	0.15	0.37		India	5.00	0.00	4.00			South Asia	Other Database Import	2008-10-14		EPI375322	
A/India/C0817284/2008	0.15	0.37		India	5.00	0.00	4.00			South Asia	Other Database Import	2008-11-04		EPI374784	
A/Chennai/817302/2008	0.15	0.37		India	5.00	0.00	4.00			South Asia	Other Database Import	2008-11-19		EPI607506	
